"","country","year","risk_factor","totalcase"
"566","Spain",2019,"dia",279
"567","Sri Lanka",2019,"dia",880
"568","Sudan",2019,"dia",2140
"569","Suriname",2019,"dia",16
"570","Sweden",2019,"dia",23
"571","Switzerland",2019,"dia",16
"572","Syrian Arab Republic",2019,"dia",387
"573","Tajikistan",2019,"dia",680
"574","Thailand",2019,"dia",8100
"575","Timor-Leste",2019,"dia",298
"576","Togo",2019,"dia",192
"577","Tonga",2019,"dia",1
"578","Trinidad and Tobago",2019,"dia",24
"579","Tunisia",2019,"dia",440
"580","Turkey",2019,"dia",1590
"581","Turkmenistan",2019,"dia",283
"582","Tuvalu",2019,"dia",4
"583","Uganda",2019,"dia",3180
"584","Ukraine",2019,"dia",2240
"585","United Arab Emirates",2019,"dia",12
"586","United Kingdom of Great Britain and Northern Ireland",2019,"dia",287
"587","United Republic of Tanzania",2019,"dia",6800
"588","United States of America",2019,"dia",720
"589","Uruguay",2019,"dia",102
"590","Uzbekistan",2019,"dia",1900
"591","Vanuatu",2019,"dia",14
"592","Venezuela (Bolivarian Republic of)",2019,"dia",1080
"593","Viet Nam",2019,"dia",8400
"594","Yemen",2019,"dia",1290
"595","Zambia",2019,"dia",3330
"596","Zimbabwe",2019,"dia",1780
"597","Afghanistan",2019,"hiv",660
"598","Albania",2019,"hiv",11
"599","Algeria",2019,"hiv",280
"600","Angola",2019,"hiv",7700
"601","Argentina",2019,"hiv",770
"602","Armenia",2019,"hiv",82
"603","Australia",2019,"hiv",23
"604","Austria",2019,"hiv",13
"605","Azerbaijan",2019,"hiv",91
"606","Bahamas",2019,"hiv",15
"607","Bahrain",2019,"hiv",13
"608","Bangladesh",2019,"hiv",680
"609","Belarus",2019,"hiv",190
"610","Belgium",2019,"hiv",42
"611","Belize",2019,"hiv",19
"612","Benin",2019,"hiv",1100
"613","Bhutan",2019,"hiv",2
"614","Bolivia (Plurinational State of)",2019,"hiv",590
"615","Bosnia and Herzegovina",2019,"hiv",1
"616","Botswana",2019,"hiv",2200
"617","Brazil",2019,"hiv",11000
"618","Brunei Darussalam",2019,"hiv",4
"619","Bulgaria",2019,"hiv",14
"620","Burkina Faso",2019,"hiv",780
"621","Burundi",2019,"hiv",980
"622","Cabo Verde",2019,"hiv",40
